nHiddenLayers,nNeurons,function,learning_rate,batchSize,nEpochs,r2,mae,rmse
9,64,relu,0.001677457397905576,128,100,0.9000775218009949,0.20903214812278748,0.3214246332645416
4,64,relu,4.5280782614269214e-05,64,100,0.7489157915115356,0.3545251786708832,0.5095153450965881
5,512,tanh,0.0026809663934554274,64,69,0.8177260160446167,0.3186774253845215,0.43412014842033386
10,256,relu,1.897743576692889e-05,64,79,0.84123295545578,0.289554625749588,0.40516114234924316
7,64,tanh,0.0030776128935152353,256,100,0.8889650702476501,0.2201787382364273,0.33882656693458557
10,128,relu,0.0001381588390256013,512,100,0.8440107107162476,0.2858092188835144,0.4016011655330658
9,128,relu,3.091772153218724e-05,512,100,0.7511520981788635,0.35025495290756226,0.5072412490844727
4,128,relu,0.0026009823331450393,512,100,0.9165241718292236,0.20361123979091644,0.29378384351730347
9,256,relu,0.0009253712360175416,512,89,0.9268813133239746,0.1707225888967514,0.2749550938606262
7,512,tanh,4.5494854190782555e-05,128,100,0.8918946385383606,0.2366151064634323,0.334326833486557
10,512,relu,0.00014265990649259876,512,74,0.9135057926177979,0.21298256516456604,0.2990480959415436
10,256,relu,7.594520975660204e-05,128,98,0.8903251886367798,0.2378932237625122,0.33674490451812744
10,256,relu,2.8742054308103398e-05,128,71,0.8380844593048096,0.2940148413181305,0.40915873646736145
5,64,relu,0.004305551592067334,64,100,0.8811424970626831,0.24679486453533173,0.3505588471889496
10,128,relu,0.0009533502136739089,128,100,0.9250831604003906,0.16929499804973602,0.27831539511680603
9,256,tanh,0.009670480866211651,256,41,0.3031831383705139,0.6353229880332947,0.8488029837608337
8,128,relu,1.0509269202729423e-05,64,100,0.7555243968963623,0.3543546199798584,0.5027653574943542
9,512,relu,0.0004146692146193046,512,72,0.9256874918937683,0.17817150056362152,0.277190625667572
7,512,tanh,0.0039040039203595456,64,50,0.4839508533477783,0.535440981388092,0.7304544448852539
5,128,tanh,2.6335822792911902e-05,128,100,0.7073715329170227,0.3838578164577484,0.550054669380188
10,64,relu,0.0009045543822897101,64,99,0.8947657346725464,0.21671853959560394,0.32985737919807434
4,128,tanh,1.0150002168969153e-05,512,100,0.5566729307174683,0.4978904128074646,0.6770328283309937
7,512,relu,3.712732004925599e-05,128,62,0.8844159841537476,0.24552583694458008,0.34569764137268066
8,512,relu,1.481285389315775e-05,64,81,0.8755283355712891,0.25215449929237366,0.35874244570732117
8,128,relu,0.0007213475000236415,512,64,0.8881276845932007,0.24384023249149323,0.34010177850723267
9,256,tanh,8.882425811250468e-05,64,100,0.9151537418365479,0.21276122331619263,0.29618561267852783
