nHiddenLayers,nNeurons,function,learning_rate,batchSize,nEpochs,r2,mae,rmse
7,32,relu,0.003041592296100733,256,100,0.6729272603988647,6.496644973754883,9.190208435058594
6,256,relu,0.00011470819313402349,256,100,0.6795912981033325,6.590875148773193,9.096101760864258
7,256,relu,0.0007914401758545618,512,100,0.8207985758781433,4.970591068267822,6.802583694458008
3,128,relu,0.00015328218648951554,128,100,0.6515480279922485,6.602326393127441,9.485815048217773
8,32,tanh,0.0011815610957838962,1024,100,-0.04644358158111572,12.519698143005371,16.438457489013672
3,32,relu,0.002101486658246116,512,100,0.6735149621963501,6.639166355133057,9.181947708129883
5,128,tanh,0.0018679656620337432,512,100,-0.026366233825683594,12.517838478088379,16.279998779296875
7,32,relu,0.0011702529755428341,256,100,0.7181854844093323,6.078362941741943,8.5307035446167
7,128,relu,0.0002871416184564485,128,100,0.7121987342834473,6.138246536254883,8.620838165283203
4,64,tanh,0.000618391913919547,1024,100,-0.0460360050201416,12.519630432128906,16.435256958007812
6,128,tanh,0.0062466297785083984,1024,100,-0.02926480770111084,12.518143653869629,16.30297088623047
8,32,relu,0.0017984239743712841,1024,100,0.6931886076927185,6.32866907119751,8.901001930236816
7,32,tanh,0.0034450653562752144,512,100,-0.043951988220214844,12.519492149353027,16.41887664794922
4,64,relu,0.005508548019837775,512,100,0.7150464057922363,6.256054878234863,8.578083038330078
8,32,tanh,0.000948880269088727,128,100,-0.0430293083190918,12.498685836791992,16.411619186401367
2,32,tanh,0.00428594414383087,256,100,-0.035082101821899414,12.516645431518555,16.348976135253906
3,128,tanh,0.008486445216466089,256,100,-0.03112626075744629,12.518328666687012,16.317705154418945
5,256,relu,0.0003131924090213808,128,100,0.8067429065704346,5.192007541656494,7.064328193664551
2,32,relu,0.00028700110419517023,128,100,0.6322259902954102,6.923122406005859,9.745265007019043
4,256,relu,0.0011980304672584833,1024,100,0.747868001461029,5.858963489532471,8.068952560424805
2,32,tanh,0.0005112050473842452,1024,100,-0.056603431701660156,12.534353256225586,16.51806640625
7,32,relu,0.0006386200716980336,512,100,0.7068181037902832,6.237198829650879,8.701050758361816
4,256,relu,0.005610116864375631,128,100,0.7227538824081421,6.141416549682617,8.46127700805664
2,32,relu,0.007124164943962005,256,100,0.6377226114273071,6.88201379776001,9.67216682434082
3,256,relu,0.00021343922868174983,128,100,0.5860695838928223,7.356505393981934,10.33872127532959
5,128,tanh,0.00247276592347382,1024,100,-0.02687990665435791,12.517887115478516,16.28407096862793
6,32,tanh,0.00013011595266087506,1024,100,-0.5454425811767578,14.768568992614746,19.97696876525879
2,64,tanh,0.0001736893651938295,256,100,-0.04773902893066406,12.516467094421387,16.44862937927246
7,128,tanh,0.00025616417855154326,512,100,0.46217405796051025,8.481523513793945,11.784849166870117
8,32,relu,0.0008252224706868495,128,100,0.6797447204589844,6.30509090423584,9.093923568725586
3,128,tanh,0.00020677292186290836,512,100,0.506938099861145,7.998735427856445,11.283761024475098
7,32,relu,0.00033801178536890266,128,100,0.72328782081604,6.116405010223389,8.453125
7,128,tanh,0.000317864848933973,128,100,-0.060682058334350586,12.375571250915527,16.549915313720703
3,128,relu,0.003037119055767821,1024,100,0.6762614250183105,6.567803859710693,9.143245697021484
3,32,tanh,0.0014622415925496241,256,100,-0.047113776206970215,12.51838207244873,16.443721771240234
8,32,tanh,0.0002631195251333217,256,100,-0.047418951988220215,12.519776344299316,16.446117401123047
3,64,relu,0.0057920514278878114,128,100,0.6740034818649292,6.654815673828125,9.17507553100586
5,64,tanh,0.00020815923634403722,128,100,0.43110042810440063,8.849054336547852,12.120512008666992
8,256,tanh,0.0004077385129434006,256,100,0.1336653232574463,11.047951698303223,14.957052230834961
4,128,tanh,0.0022857895174275412,512,100,-0.025044798851013184,12.517699241638184,16.269514083862305
4,32,relu,0.0015600643404560374,512,100,0.6783205270767212,6.518908977508545,9.11412239074707
6,64,tanh,0.00012267980229613377,1024,100,-0.1495572328567505,12.815921783447266,17.229333877563477
7,64,tanh,0.0007287772370815344,512,100,0.06820565462112427,11.293644905090332,15.511836051940918
7,256,tanh,0.0006379707598231965,512,100,0.2403753399848938,10.956879615783691,14.005631446838379
6,128,tanh,0.0012470228926784975,128,100,-0.04766726493835449,12.517353057861328,16.44806671142578
4,256,tanh,0.0007661602191031772,256,100,0.3683953285217285,9.540210723876953,12.771027565002441
7,32,tanh,0.0010737520842139297,512,100,-0.046183228492736816,12.519678115844727,16.436412811279297
3,32,relu,0.0003088055436547084,1024,100,0.6045722961425781,7.253085613250732,10.105010032653809
6,64,tanh,0.0009744382833617107,256,100,-0.045275092124938965,12.519600868225098,16.429277420043945
2,256,relu,0.00022478812428162738,1024,100,0.652346134185791,6.768162727355957,9.474945068359375
8,32,tanh,0.0001847898917752375,1024,100,-0.3829993009567261,13.935250282287598,18.897926330566406
8,256,relu,0.003071219696229606,1024,100,0.7517478466033936,5.75496768951416,8.006628036499023
5,64,tanh,0.0007581326255829964,512,100,-0.04546201229095459,12.519601821899414,16.430747985839844
3,64,relu,0.0005835399379432956,256,100,0.6605387926101685,6.727856159210205,9.362637519836426
6,256,tanh,0.00013320834149435355,1024,100,0.5100619792938232,7.925004005432129,11.24795913696289
8,256,tanh,0.00010275244557639179,512,100,0.5863931179046631,7.193212509155273,10.334680557250977
6,64,tanh,0.00027469026557536467,1024,100,-0.046950459480285645,12.519704818725586,16.44243812561035
7,64,tanh,0.006903721149652397,128,100,-0.03138887882232666,12.518356323242188,16.31978416442871
8,256,relu,0.00012605766751553566,1024,100,0.7087000608444214,6.258357524871826,8.673080444335938
8,256,tanh,0.004675432913704535,1024,100,-0.02710115909576416,12.51791763305664,16.285823822021484
2,32,relu,0.00025045018955531913,128,100,0.5973067283630371,7.152194023132324,10.197421073913574
7,32,relu,0.0008512712513057015,512,100,0.6892837285995483,6.366273880004883,8.957465171813965
3,128,relu,0.0014367111591931973,512,100,0.7245118021965027,6.107467174530029,8.434409141540527
6,64,relu,0.0024796249923450748,512,100,0.763067901134491,5.750417709350586,7.821951866149902
7,128,relu,0.0010278306857660665,512,100,0.7672714591026306,5.538453578948975,7.752253532409668
8,256,relu,0.0007429751528911573,512,100,0.8237236142158508,4.931212425231934,6.746837139129639
8,32,tanh,0.005797788493475599,256,100,-0.040221214294433594,12.519174575805664,16.389511108398438
3,256,relu,0.000512448153230333,512,100,0.7177476286888123,6.174365043640137,8.537327766418457
4,32,relu,0.00014832895050900522,1024,100,0.5880402326583862,7.330511093139648,10.314082145690918
7,256,tanh,0.003853592040339832,128,100,-0.035483360290527344,12.518747329711914,16.352144241333008
5,128,tanh,0.00984607020137491,512,100,-0.025881052017211914,12.517786026000977,16.27614974975586
2,64,tanh,0.00017342411323480758,256,100,0.44436585903167725,8.616676330566406,11.97836685180664
4,128,relu,0.004626544317922483,512,100,0.7299137115478516,6.042964458465576,8.351306915283203
6,64,tanh,0.00012331939969602963,128,100,0.4223727583885193,8.94555377960205,12.213130950927734
8,32,tanh,0.0008685481305593447,1024,100,-0.04663097858428955,12.5197114944458,16.439929962158203
5,32,relu,0.00020111942277957143,512,100,0.6371776461601257,6.960726737976074,9.679439544677734
6,64,tanh,0.0007962123869650712,1024,100,-0.04562187194824219,12.51962947845459,16.432003021240234
6,32,relu,0.0017825021436635303,512,100,0.7222843766212463,6.108494758605957,8.468438148498535
5,256,tanh,0.0003824006114766821,256,100,0.4433773159980774,8.670035362243652,11.989018440246582
7,64,tanh,0.0037640558027757683,256,100,-0.03253757953643799,12.518468856811523,16.328868865966797
3,32,relu,0.00021470669084299796,512,100,0.5781422853469849,7.364461421966553,10.437252044677734
4,256,tanh,0.0010021768218298906,1024,100,0.43831485509872437,8.821481704711914,12.043415069580078
7,128,tanh,0.00011264963393319885,256,100,0.5260447859764099,7.8275322914123535,11.062972068786621
